City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
165,Tonj,SS,2022-02-12 14:47:25,7.2737,28.6822,96.8,12,6,7.96,clear sky
166,Bilma,NE,2022-02-12 14:47:26,18.6853,12.9164,78.89,10,0,7.72,clear sky
167,Morondava,MG,2022-02-12 14:47:26,-20.2833,44.2833,83.73,80,49,9.08,light rain
168,Longyearbyen,SJ,2022-02-12 14:47:27,78.2186,15.6401,12.04,79,0,11.5,clear sky
169,Yellowknife,CA,2022-02-12 14:47:27,62.456,-114.3525,-28.44,88,0,5.75,clear sky
170,Nikolskoye,RU,2022-02-12 14:47:28,59.7035,30.7861,33.87,87,100,11.9,snow
171,Dingle,PH,2022-02-12 14:47:28,10.9995,122.6711,75.16,91,95,8.86,overcast clouds
172,Tres Arroyos,AR,2022-02-12 14:47:29,-38.3739,-60.2798,67.35,36,0,6.96,clear sky
173,Margate,GB,2022-02-12 14:47:29,51.3813,1.3862,48.18,59,99,10.0,overcast clouds
174,Capao Da Canoa,BR,2022-02-12 14:47:30,-29.7456,-50.0097,77.34,73,0,15.59,clear sky
175,Batagay-Alyta,RU,2022-02-12 14:47:31,67.8006,130.4114,-19.88,88,91,5.41,overcast clouds
176,Imeni Poliny Osipenko,RU,2022-02-12 14:47:31,52.4201,136.4853,12.18,94,100,15.14,light snow
177,Winfield,US,2022-02-12 14:47:18,37.2398,-96.9956,22.62,62,0,10.36,clear sky
178,Walvis Bay,NA,2022-02-12 14:47:32,-22.9575,14.5053,75.13,73,17,10.36,few clouds
179,Codrington,AU,2022-02-12 14:47:33,-38.2667,141.9667,64.56,67,5,11.83,clear sky
180,Altoona,US,2022-02-12 14:47:33,40.5187,-78.3947,42.84,82,91,4.0,overcast clouds
181,Kamaishi,JP,2022-02-12 14:48:34,39.2667,141.8833,34.72,89,83,5.91,broken clouds
182,Kindu,CD,2022-02-12 14:48:34,-2.95,25.95,87.49,54,99,2.51,overcast clouds
183,Alofi,NU,2022-02-12 14:48:34,-19.0595,-169.9187,76.89,88,14,3.44,few clouds
184,Souillac,MU,2022-02-12 14:48:35,-20.5167,57.5167,82.78,74,20,6.91,few clouds
185,Inta,RU,2022-02-12 14:48:35,66.0317,60.1659,8.56,89,100,11.18,light snow
186,Zajecar,RS,2022-02-12 14:48:35,43.9036,22.2641,49.05,51,100,8.25,overcast clouds
187,Okakarara,NA,2022-02-12 14:48:36,-20.5833,17.4333,79.86,47,97,6.62,overcast clouds
188,Clyde River,CA,2022-02-12 14:48:36,70.4692,-68.5914,-18.17,76,100,27.63,overcast clouds
189,Khasan,RU,2022-02-12 14:48:36,42.4308,130.6434,23.22,47,90,13.04,overcast clouds
190,Lock Haven,US,2022-02-12 14:48:36,41.137,-77.4469,45.7,72,90,11.83,overcast clouds
191,Roma,US,2022-02-12 14:44:35,43.2128,-75.4557,43.68,65,100,5.75,overcast clouds
192,Saint-Joseph,RE,2022-02-12 14:48:37,-21.3667,55.6167,80.96,76,32,2.17,scattered clouds
193,Cherskiy,RU,2022-02-12 14:48:37,68.75,161.3,-24.21,98,100,8.68,overcast clouds
194,Sorkjosen,NO,2022-02-12 14:48:37,69.8,20.9333,18.32,80,66,10.74,broken clouds
195,Narsaq,GL,2022-02-12 14:48:38,60.9167,-46.05,32.22,97,100,4.97,snow
196,Half Moon Bay,US,2022-02-12 14:48:38,37.4636,-122.4286,62.24,70,0,0.0,clear sky
197,Umm Kaddadah,SD,2022-02-12 14:48:38,13.6017,26.6876,80.55,8,9,14.83,clear sky
198,Hervey Bay,AU,2022-02-12 14:48:38,-25.2986,152.8535,71.71,65,86,22.7,overcast clouds
199,Ayr,GB,2022-02-12 14:48:39,55.4627,-4.6339,51.21,81,40,19.57,scattered clouds
200,Alyangula,AU,2022-02-12 14:48:39,-13.8483,136.4192,76.87,100,63,0.0,broken clouds
201,Pevek,RU,2022-02-12 14:48:39,69.7008,170.3133,-26.3,98,100,8.34,overcast clouds
202,Tiksi,RU,2022-02-12 14:48:40,71.6872,128.8694,-9.26,92,95,17.6,overcast clouds
203,Sampit,ID,2022-02-12 14:48:40,-2.5333,112.95,73.8,90,100,0.98,light rain
204,Atar,MR,2022-02-12 14:48:40,20.5169,-13.0499,83.91,13,25,16.71,scattered clouds
205,Artemovsk,UA,2022-02-12 14:48:41,49.8406,36.0417,34.14,80,82,10.42,broken clouds
206,Muros,ES,2022-02-12 14:48:41,42.7762,-9.0603,57.09,79,35,5.77,scattered clouds
207,Brejo,BR,2022-02-12 14:48:41,-3.6844,-42.7503,89.67,50,63,6.78,broken clouds
