City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Wangaratta,AU,2022-02-02 20:15:09,-36.3667,146.3333,55.6,79,0,6.02
168,Te Anau,NZ,2022-02-02 20:15:09,-45.4167,167.7167,57.85,96,100,3.0
169,Leningradskiy,RU,2022-02-02 20:15:09,69.3833,178.4167,-14.01,96,30,10.18
170,Poum,NC,2022-02-02 20:15:10,-20.2333,164.0167,79.45,78,0,11.16
171,Huarmey,PE,2022-02-02 20:14:35,-10.0681,-78.1522,77.04,68,43,13.8
172,Hamilton,US,2022-02-02 20:15:10,39.1834,-84.5333,44.64,93,100,1.01
173,Beringovskiy,RU,2022-02-02 20:15:10,63.05,179.3167,-0.18,83,65,19.55
174,Ambatondrazaka,MG,2022-02-02 20:15:11,-17.8333,48.4167,66.31,93,100,3.89
175,Sal Rei,CV,2022-02-02 20:15:11,16.1833,-22.9167,72.16,84,0,17.4
176,Mackenzie,CA,2022-02-02 20:15:11,55.2999,-123.1698,1.62,78,100,6.91
177,Fortuna,US,2022-02-02 20:14:28,40.5982,-124.1573,54.86,60,0,3.0
178,Najran,SA,2022-02-02 20:15:12,17.4924,44.1277,57.85,38,1,3.38
179,Constanta,RO,2022-02-02 20:14:05,44.1833,28.65,34.7,83,100,6.58
180,Labuhan,ID,2022-02-02 20:15:13,-6.8844,112.2051,77.34,87,100,6.2
181,Namatanai,PG,2022-02-02 20:16:13,-3.6667,152.4333,77.79,84,100,6.82
182,Igrim,RU,2022-02-02 20:16:13,63.1906,64.4162,10.17,98,100,3.22
183,Esna,EG,2022-02-02 20:16:14,25.2934,32.554,60.96,37,1,5.5
184,Santa Marta,CO,2022-02-02 20:15:29,11.2408,-74.199,94.33,60,20,1.01
185,Kudahuvadhoo,MV,2022-02-02 20:16:14,2.6708,72.8944,80.94,75,3,7.94
186,Atyrau,KZ,2022-02-02 20:16:14,47.1167,51.8833,30.22,100,100,6.71
187,Bahar,IR,2022-02-02 20:16:15,34.9072,48.4414,19.56,93,0,2.3
188,Flin Flon,CA,2022-02-02 20:16:15,54.7682,-101.865,-11.36,49,0,11.5
189,Sao Filipe,CV,2022-02-02 20:16:16,14.8961,-24.4956,75.38,66,6,18.86
190,Kailua,US,2022-02-02 20:14:54,21.4022,-157.7394,80.58,67,0,11.5
191,Nome,US,2022-02-02 20:16:16,64.5011,-165.4064,9.1,79,53,20.92
192,Basco,PH,2022-02-02 20:16:16,20.4487,121.9702,74.55,75,100,13.71
193,Omsukchan,RU,2022-02-02 20:16:17,62.5333,155.8,-15.52,100,100,6.35
194,Vila Franca Do Campo,PT,2022-02-02 20:16:17,37.7167,-25.4333,59.2,80,20,9.17
195,Cururupu,BR,2022-02-02 20:16:17,-1.8283,-44.8683,78.01,88,98,5.17
196,Dikson,RU,2022-02-02 20:16:18,73.5069,80.5464,-8.28,98,97,10.8
197,Salalah,OM,2022-02-02 20:16:18,17.0151,54.0924,73.49,40,0,3.44
198,Antofagasta,CL,2022-02-02 20:16:18,-23.65,-70.4,70.88,67,7,11.43
199,Rio Gallegos,AR,2022-02-02 20:16:19,-51.6226,-69.2181,62.65,55,75,20.71
200,Khawhai,IN,2022-02-02 20:16:19,23.3667,93.1167,38.61,77,2,2.71
201,Digby,CA,2022-02-02 20:15:15,44.6169,-65.7655,36.91,92,100,12.62
202,Manta,EC,2022-02-02 20:16:20,-0.95,-80.7333,80.65,71,70,13.04
203,Yamada,JP,2022-02-02 20:16:20,39.4667,141.95,29.84,60,3,4.45
204,Hasaki,JP,2022-02-02 20:16:20,35.7333,140.8333,23.4,45,51,5.03
205,Sovetskiy,RU,2022-02-02 20:16:21,61.3614,63.5842,22.55,97,100,5.59
206,Souillac,MU,2022-02-02 20:14:33,-20.5167,57.5167,80.98,89,75,29.93
207,Aklavik,CA,2022-02-02 20:16:21,68.2191,-135.0107,-25.6,75,40,2.3
208,Talaya,RU,2022-02-02 20:12:17,61.3833,152.75,-11.0,98,100,4.21
209,Grosseto,IT,2022-02-02 20:16:21,42.8333,11.25,52.79,93,0,4.61
210,Yumen,CN,2022-02-02 20:16:22,40.2833,97.2,22.82,33,100,9.1
211,Codrington,AU,2022-02-02 20:16:22,-38.2667,141.9667,59.25,56,73,16.53
212,Knysna,ZA,2022-02-02 20:14:53,-34.0363,23.0471,70.18,94,100,3.67
213,Marawi,PH,2022-02-02 20:16:22,7.9986,124.2928,66.65,90,97,1.32
214,Victoria,HK,2022-02-02 20:11:51,22.2855,114.1577,58.24,92,100,1.99
215,Sabla,NG,2022-02-02 20:16:23,12.7525,4.7077,71.26,8,51,8.57
216,Vardo,NO,2022-02-02 20:14:40,70.3705,31.1107,28.38,74,75,12.66
217,Theunissen,ZA,2022-02-02 20:16:23,-28.411,26.7011,74.32,58,66,4.7
218,Alakurtti,RU,2022-02-02 20:16:24,66.9672,30.3491,9.63,94,100,4.18
219,Dolores,AR,2022-02-02 20:16:24,-36.3132,-57.6792,87.03,38,66,10.83
220,Komsomolskiy,UZ,2022-02-02 20:16:24,40.4272,71.7189,38.12,75,75,4.61
221,Dalbandin,PK,2022-02-02 20:16:25,28.8947,64.4101,49.21,33,0,8.7
222,Florianopolis,BR,2022-02-02 20:13:38,-27.6146,-48.5012,84.25,79,40,13.8
223,Manadhoo,MV,2022-02-02 20:16:25,5.7667,73.3833,81.73,70,17,9.26
224,Marsabit,KE,2022-02-02 20:16:26,2.3284,37.9899,72.7,51,100,11.27
225,Sakaiminato,JP,2022-02-02 20:16:26,35.55,133.2333,39.18,70,75,9.22
226,Fairbanks,US,2022-02-02 20:16:27,64.8378,-147.7164,-25.02,70,0,0.0
227,Dunedin,NZ,2022-02-02 20:16:27,-45.8742,170.5036,56.3,94,100,11.65
228,Gobabis,NA,2022-02-02 20:16:27,-22.45,18.9667,68.18,72,52,4.92
229,Port-Gentil,GA,2022-02-02 20:17:28,-0.7193,8.7815,80.51,80,18,8.01
230,Nhulunbuy,AU,2022-02-02 20:17:28,-12.2333,136.7667,81.21,83,100,6.91
231,Olafsvik,IS,2022-02-02 20:17:29,64.8945,-23.7142,30.45,59,97,10.6
232,Lata,PT,2022-02-02 20:17:29,40.1629,-8.3327,52.07,69,91,0.27
233,Lagoa,PT,2022-02-02 20:17:29,39.05,-27.9833,58.33,73,0,8.9
234,Portland,US,2022-02-02 20:13:04,45.5234,-122.6762,45.45,93,100,3.0
235,La Rochelle,FR,2022-02-02 20:17:30,46.1667,-1.15,45.88,100,100,5.75
236,Ilula,TZ,2022-02-02 20:17:30,-7.6766,36.0366,62.98,96,100,1.39
