City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
139,Sibolga,ID,77.29,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
140,San Policarpo,PH,78.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
141,Sept-Iles,CA,31.05,broken clouds,50.2001,-66.3821,Comfort Inn
142,Port Alfred,ZA,80.51,clear sky,-33.5906,26.891,The Halyards Hotel
143,Greytown,ZA,82.02,clear sky,-29.0642,30.5928,Lord Grey Guest House
144,Namatanai,PG,78.08,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
145,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
146,Yuryevets,RU,24.04,light snow,57.3201,43.1041,Pavlikov House
147,Celestun,MX,74.71,overcast clouds,20.8667,-90.4,Posada Lilia
148,Tateyama,JP,42.82,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
149,Russell,US,53.31,clear sky,32.3502,-85.1999,Macs
150,Abbeyfeale,IE,53.31,broken clouds,52.3814,-9.3025,Park Lodge
151,Vardo,NO,16.0,scattered clouds,70.3705,31.1107,Vardø Hotel AS
153,Houlton,US,39.49,overcast clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
154,Rabo De Peixe,PT,60.31,broken clouds,37.8,-25.5833,Quinta das Giestas
155,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
156,Rincon,US,60.13,broken clouds,32.296,-81.2354,Days Inn Rincon
157,Zaqatala,AZ,48.67,clear sky,41.6336,46.6433,Ag Bina Hotel & Spa
158,Agadez,NE,74.86,clear sky,19.75,10.25,
159,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
160,Suez,EG,66.61,clear sky,29.9737,32.5263,Green House
161,Gat,IL,63.28,clear sky,31.61,34.7642,OlusHome
162,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
163,Kodiak,US,38.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
164,Tiznit,MA,68.94,clear sky,29.5833,-9.5,
165,Tonj,SS,96.8,clear sky,7.2737,28.6822,Lakan Hotel
166,Bilma,NE,78.89,clear sky,18.6853,12.9164,Expeditions Ténére voyages
167,Morondava,MG,83.73,light rain,-20.2833,44.2833,La Case Bambou
168,Longyearbyen,SJ,12.04,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
170,Nikolskoye,RU,33.87,snow,59.7035,30.7861,Tourist House - Sablino
171,Dingle,PH,75.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
172,Tres Arroyos,AR,67.35,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
173,Margate,GB,48.18,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
174,Capao Da Canoa,BR,77.34,clear sky,-29.7456,-50.0097,Hotel Araçá
176,Imeni Poliny Osipenko,RU,12.18,light snow,52.4201,136.4853,Yubileynaya
177,Winfield,US,22.62,clear sky,37.2398,-96.9956,Sonner Motor Inn
179,Codrington,AU,64.56,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
180,Altoona,US,42.84,overcast clouds,40.5187,-78.3947,Cedar Grove Motel
181,Kamaishi,JP,34.72,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
182,Kindu,CD,87.49,overcast clouds,-2.95,25.95,Résidence Okanda
